,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,42.344032299999995,38.9894485,40.0439529,36.923912,36.844421399999995,31.7756481,42.0493317,30.8669968,32.668415100000004,32.073822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,36.1947784,31.7756481,47.701431299999996,40.1968727,34.5369568,36.7495155,61.116878500000006,42.0493317,24.511301,40.071765899999995,30.981514,25.5026493,53.659484899999995,29.816335700000003,52.7537193,43.0160294,40.0439529,36.923912,36.52539829999999,27.71632,32.073822,43.311245,53.0493622,35.910110499999995,24.631074899999998,44.620018,38.0864677,28.8317795,54.723033900000004,41.7304688,34.846138,27.6685925,56.6248932,39.7581711,45.2502785,54.33592610000001,42.344032299999995,53.9077988,55.25065229999999,51.44696810000001,51.307106,63.6651573,38.9894485,23.3474426,42.742656700000005,37.6076355,22.806272500000002,57.6074409,20.4841213,45.8476028,30.1011868,30.8669968,32.668415100000004,136.078201,36.300918599999996,36.844421399999995,44.7772865,54.07425309999999,44.9373093,18.0855064,39.570373499999995,48.5835609,17.5504475,30.8682594,57.960826899999994,46.9552994,20.5390778,63.1529655,59.78367610000001,57.401519799999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,72.6937408,36.1947784,31.7756481,47.701431299999996,33.7715187,40.1968727,34.5369568,33.1007614,51.307106,39.7639389,61.116878500000006,38.3845291,24.511301,40.071765899999995,37.6076355,43.8949814,53.2261581,25.5026493,57.6074409,20.4841213,30.1011868,40.0439529,36.923912,142.143784,36.52539829999999,36.70758060000001,17.664344800000002,36.844421399999995,40.4089012,44.7772865,54.07425309999999,35.910110499999995,24.631074899999998,45.3968048,39.570373499999995,33.1156235,50.1535492,36.0278893,31.281457899999996,48.5835609,38.6532745,28.8317795,32.853054,30.8682594,41.7304688,34.846138,27.6685925,56.6248932,32.8199234,46.912483200000004,35.7610016,45.2502785,57.77335359999999,66.8708572,54.33592610000001,42.344032299999995,53.9077988,48.3644218,55.25065229999999,51.44696810000001,78.71781920000001,36.7495155,38.3782463,63.6651573,60.518737800000004,23.3474426,41.18431470000001,30.981514,17.4349632,47.7791367,22.806272500000002,53.659484899999995,29.816335700000003,43.0160294,30.8669968,32.668415100000004,36.1798439,136.078201,32.3794861,39.881469700000004,32.073822,43.6784019,43.311245,53.0493622,44.9373093,18.0855064,34.6911697,44.620018,50.92840579999999,36.6927795,40.56935120000001,11.1673546,38.0864677,36.4481201,17.5504475,44.7519875,54.723033900000004,57.960826899999994,46.9552994,20.5390778,63.1529655,36.7031364,40.5328598,36.0796394,57.401519799999996,46.410099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,66.8708572,36.1947784,42.344032299999995,47.701431299999996,48.3644218,48.2171898,55.25065229999999,33.1007614,34.005886100000005,33.2284088,51.307106,39.7639389,23.040027600000002,63.6651573,38.9894485,24.511301,28.8303452,42.742656700000005,30.981514,29.8983517,43.8949814,36.943160999999996,53.2261581,25.5026493,53.659484899999995,46.6359024,29.816335700000003,30.5636559,30.1011868,40.0439529,142.143784,32.668415100000004,36.70758060000001,29.2283649,36.844421399999995,40.4089012,24.579607,44.7772865,37.0598602,38.0827751,54.07425309999999,43.6636124,24.631074899999998,45.3968048,38.261119799999996,29.206144300000002,39.570373499999995,50.92840579999999,22.438570000000002,30.953693400000002,36.6927795,46.15304570000001,36.0278893,63.290527299999994,31.281457899999996,31.386268599999998,48.5835609,82.7559433,29.7316093,29.0837517,41.33148189999999,38.6532745,38.08008579999999,32.5376167,52.3118515,28.8317795,32.853054,54.77850720000001,54.723033900000004,49.1581612,41.7304688,34.846138,27.6685925,54.824588799999994,63.1529655,36.7031364,46.912483200000004,35.7610016,45.2502785,80.5994644,27.674692200000003,29.1751575,57.77335359999999,72.6937408,54.33592610000001,31.7756481,53.9077988,33.7715187,27.562759399999997,40.1968727,78.71781920000001,25.463079500000003,30.381710100000003,36.7495155,38.3782463,33.7321129,61.116878500000006,42.0493317,23.3474426,8.44094944,40.071765899999995,37.6076355,36.4406662,17.4349632,36.0163574,47.7791367,22.806272500000002,57.6074409,31.366453200000002,20.4841213,31.063684499999997,43.0160294,30.8669968,46.435367600000006,36.923912,32.3794861,45.8383865,32.073822,43.6784019,39.9917641,43.311245,23.925909,32.6171799,53.0493622,29.246355100000002,18.0855064,34.6911697,29.7801495,35.6882324,44.620018,33.1156235,12.0408859,35.9406052,50.1535492,33.125103,40.56935120000001,44.2993774,11.1673546,60.207435600000004,38.0864677,77.88119509999999,30.1758938,33.875282299999995,32.1593895,36.4481201,60.95304870000001,31.3396854,33.8752403,17.5504475,44.7519875,26.619197800000002,30.8682594,43.1142349,57.960826899999994,46.9552994,20.5390778,41.6488304,56.6248932,32.8199234,40.5328598,36.0796394,57.401519799999996,62.814033499999994,36.3693047,33.338100399999995,46.410099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,36.1947784,31.7756481,47.701431299999996,34.955844899999995,39.0731506,48.3644218,27.562759399999997,40.1968727,78.71781920000001,34.005886100000005,30.381710100000003,36.7495155,39.7639389,56.1731491,23.040027600000002,63.6651573,42.0493317,24.511301,15.8374481,28.8303452,42.742656700000005,61.6967583,37.6076355,22.3004971,36.4406662,43.8949814,18.6262722,41.1716843,53.2261581,25.5026493,53.659484899999995,30.197814899999997,20.4841213,46.6359024,30.5636559,30.1011868,40.0439529,34.269569399999995,61.420452100000006,58.423687,46.435367600000006,32.668415100000004,36.70758060000001,45.8383865,32.073822,40.4089012,18.3764381,24.579607,19.972755399999997,43.311245,23.925909,38.0827751,38.7229576,53.0493622,29.246355100000002,24.631074899999998,45.3968048,29.7801495,29.206144300000002,8.91972065,44.620018,33.1156235,22.438570000000002,41.177211799999995,38.851249700000004,36.6927795,46.15304570000001,73.47494509999999,36.0278893,63.290527299999994,31.281457899999996,60.207435600000004,21.356742899999997,48.5835609,82.7559433,13.3813829,30.1758938,32.1593895,38.08008579999999,32.2904625,52.3118515,32.853054,26.619197800000002,37.355342900000004,43.1142349,18.2957916,57.960826899999994,46.9552994,23.4809284,54.824588799999994,56.6248932,36.7031364,46.912483200000004,61.292102799999995,31.5754604,36.0796394,18.8250961,13.778662699999998,44.00519179999999,45.2502785,27.674692200000003,39.914505,29.1751575,57.77335359999999,54.33592610000001,42.344032299999995,53.9077988,19.0638485,33.032546999999994,33.7715187,48.2171898,55.25065229999999,33.1007614,25.463079500000003,33.2284088,51.307106,38.3782463,12.0445757,33.7321129,61.116878500000006,38.9894485,23.3474426,28.2762985,8.44094944,40.071765899999995,36.974086799999995,30.981514,6.74959421,29.8983517,17.4349632,8.35741615,40.9538765,47.7791367,22.806272500000002,57.6074409,14.867974300000002,29.816335700000003,31.366453200000002,31.063684499999997,43.0160294,30.8669968,8.36637974,46.2201767,55.6288948,142.143784,36.923912,32.3794861,29.2283649,36.844421399999995,43.6784019,36.2668648,39.9917641,18.51651,44.7772865,37.0598602,32.6171799,19.2182961,54.07425309999999,43.6636124,18.0855064,34.6911697,38.261119799999996,35.6882324,8.50067043,39.570373499999995,50.92840579999999,12.0408859,19.457363100000002,43.2770195,50.1535492,33.125103,40.0262222,40.56935120000001,44.2993774,11.1673546,31.386268599999998,15.2954798,38.0864677,77.88119509999999,30.819007899999995,29.0837517,41.33148189999999,60.95304870000001,24.0742455,33.8752403,44.7519875,54.77850720000001,92.84423829999999,49.1581612,44.21592329999999,41.7304688,34.846138,30.2859516,41.6488304,63.1529655,32.8199234,40.5328598,60.796920799999995,54.8246346,35.7610016,23.8867455,21.572935100000002,47.1079903,57.401519799999996,36.3693047,14.659202599999999,33.338100399999995,46.410099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,36.1947784,35.8341675,31.7756481,47.701431299999996,11.1237345,34.955844899999995,39.0731506,48.3644218,55.25065229999999,17.966129300000002,33.1007614,10.9519119,34.005886100000005,33.2284088,51.307106,39.7639389,11.9314222,56.1731491,23.040027600000002,63.6651573,9.97422218,38.9894485,24.511301,28.2762985,28.8303452,42.742656700000005,30.981514,29.8983517,43.8949814,8.67736435,41.9140778,18.6262722,40.9538765,47.7791367,17.2105064,57.6074409,98.1988983,20.4841213,30.197814899999997,30.1011868,31.063684499999997,33.3092537,40.0439529,34.269569399999995,61.420452100000006,58.423687,46.435367600000006,36.70758060000001,45.8383865,32.073822,40.4089012,36.2668648,24.579607,19.972755399999997,44.7772865,37.0598602,38.0827751,54.07425309999999,19.2182961,43.6636124,24.631074899999998,45.3968048,29.7801495,29.206144300000002,44.620018,50.92840579999999,22.438570000000002,19.457363100000002,13.021185899999999,38.851249700000004,15.942777599999998,36.6927795,46.15304570000001,40.0262222,40.56935120000001,44.2993774,31.281457899999996,31.386268599999998,15.2954798,48.5835609,30.819007899999995,82.7559433,30.1758938,32.1593895,38.08008579999999,32.2904625,32.5376167,52.3118515,32.853054,54.77850720000001,92.84423829999999,54.723033900000004,49.1581612,18.2957916,57.960826899999994,34.846138,23.4809284,54.824588799999994,63.1529655,36.7031364,70.126976,46.912483200000004,61.292102799999995,36.0796394,31.5754604,23.8867455,13.778662699999998,57.401519799999996,27.674692200000003,39.914505,29.1751575,62.5384293,57.77335359999999,54.33592610000001,7.18498516,42.344032299999995,53.9077988,32.2374039,19.0638485,33.032546999999994,33.7715187,40.1968727,7.89356232,78.71781920000001,5.49917269,25.463079500000003,30.381710100000003,36.7495155,38.3782463,31.8381596,12.0445757,33.7321129,61.116878500000006,8.02109718,42.0493317,23.3474426,15.8374481,8.44094944,40.071765899999995,37.6076355,36.4406662,17.4349632,8.42338848,11.0178595,8.35741615,41.1716843,53.2261581,9.26287365,53.659484899999995,31.366453200000002,29.816335700000003,14.867974300000002,43.0160294,30.5636559,11.6242161,30.8669968,8.36637974,46.2201767,55.6288948,142.143784,32.3794861,29.2283649,36.844421399999995,43.6784019,18.3764381,39.9917641,18.51651,43.311245,23.925909,32.6171799,53.0493622,38.7229576,29.246355100000002,18.0855064,34.6911697,38.261119799999996,35.6882324,39.570373499999995,33.1156235,12.0408859,41.177211799999995,43.9722176,43.2770195,9.19833946,50.1535492,33.125103,73.47494509999999,36.0278893,63.290527299999994,11.1673546,60.207435600000004,21.356742899999997,38.0864677,13.3813829,41.120594,29.0837517,41.33148189999999,60.95304870000001,24.0742455,31.3396854,33.8752403,44.7519875,26.619197800000002,37.355342900000004,20.8189392,43.1142349,44.21592329999999,41.7304688,46.9552994,30.2859516,41.6488304,56.6248932,32.8199234,27.743612300000002,40.5328598,60.796920799999995,35.7610016,54.8246346,18.8250961,21.572935100000002,45.2502785,36.3693047,14.659202599999999,33.338100399999995,37.734840399999996,46.410099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
