,Ejected,M1,M2,Name1,Name2,NameCM,P,Semi,Simulation,Type1,Type2,TypeCM,X,Y,Z,e
537,False,25.134065600000003,19.426448800000003,4073,4051,10972,8927201.0,2985.8418,M6629,14,14,-1,1.03108692,0.8883622879999999,-0.17104736,0.685289204
1445,True,17.2105064,9.26287365,3773.0,3774.0,13260.0,8202.51074,23.723249399999997,M6705,14.0,14.0,0.0,10.4148054,-26.0181637,-0.114579625,0.769422472
150,False,111.143631,47.7791367,3787.0,3781.0,9682.0,214739.703,380.13989300000003,M6705,14.0,14.0,-1.0,0.129119128,0.0102170901,0.153412923,0.6239594820000001
737,False,72.1031342,79.63319399999999,4057,4065,14236,27199.5645,94.4084778,M6772,14,14,0,-0.125452489,0.917224705,-0.2408081,0.923544765
419,True,20.4841213,29.816335700000003,4005.0,4006.0,11164.0,26306064.0,6390.00342,M6781,14.0,14.0,-1.0,-17.2936192,19.3990288,-24.905756,0.968630373
37,True,6.65729046,38.374519299999996,3996.0,3995.0,10705.0,33113.3945,71.79851529999999,M6781,14.0,14.0,-1.0,18.916294100000002,-27.904102299999998,-7.10781384,0.174560457
124,False,52.86734770000001,51.9232864,3997.0,3989.0,10385.0,153561.047,264.586731,M6781,14.0,14.0,-1.0,-0.282171816,0.16025473199999998,0.131007969,0.678319454
511,False,31.2370243,17.832704500000002,3985.0,3986.0,14002.0,10542.5869,34.4489403,M6781,14.0,14.0,0.0,-0.400815398,-0.0692573041,0.148334801,0.19770731
854,False,98.1988983,46.6359024,4001.0,3999.0,14018.0,6483.68115,35.7364922,M6781,14.0,14.0,0.0,-7.3282485,7.01054525,1.55955088,0.22605218
1554,True,6.0708046,52.7537193,4138.0,4147.0,14532.0,2853.31079,15.3117695,M6823,14.0,14.0,0.0,40.816570299999995,22.5934315,-13.732847199999998,0.7336865659999999
1519,True,33.3092537,11.6242161,4143.0,4144.0,14537.0,31334.4219,69.1529846,M6823,14.0,14.0,0.0,-37.334163700000005,23.96175,-25.6288624,0.652687967
53,False,61.304615000000005,69.2194977,4149.0,4145.0,10650.0,76688.9297,179.194733,M6823,14.0,14.0,-1.0,-0.293202877,-0.27988427899999996,-0.204764083,0.496494025
927,False,30.5636559,31.063684499999997,4142.0,4141.0,14536.0,7917.32568,30.7078915,M6823,14.0,14.0,0.0,-0.49232962700000005,-0.599478066,0.387994409,0.180542067
1082,False,43.3355865,46.3551292,4161,4177,14609,29999.3828,84.5792618,M6835,14,14,0,-3.68643975,-1.38617802,4.05313015,0.818677187
156,False,31.6020756,43.3258514,4157,4155,10815,224155.84399999998,304.45361299999996,M6842,14,14,-1,-0.0402848572,0.52098,0.267837495,0.6687114239999999
412,False,59.686039,48.1825829,4159,4151,14580,1252724.25,1082.61792,M6842,14,14,0,0.024609373900000002,0.511781275,0.271519214,0.492319375
67,False,62.350441000000004,49.5540314,4337,4340,11225,101361.844,205.024307,M6933,14,14,-1,0.011241923999999999,-0.12285435199999999,-0.342807025,0.273906916
426,False,73.3924942,39.4291,4393,4400,11608,2179115.5,1589.48865,M6962,14,14,-1,-0.198023528,-0.20003438,-0.124618895,0.824759841
565,False,46.435367600000006,142.143784,4251,4258,14903,16578.748,72.96908570000001,M6969,14,14,0,0.37468949,-0.161284685,0.40165966700000005,0.964760065
606,True,136.078201,36.70758060000001,4361.0,4355.0,15280.0,5598.32129,34.3674812,M7039,14.0,14.0,0.0,21.212688399999998,-19.4389935,24.3296108,0.528693199
1182,False,19.60746,18.191995600000002,4350.0,4349.0,15269.0,83100.0781,125.074661,M7039,14.0,14.0,0.0,-2.50204325,-2.19551182,3.60483503,0.921898007
250,False,34.3217545,33.1546288,4125,4135,10760,13963231.0,4620.06104,M7090,14,14,-1,0.37194797399999996,-0.0584006459,0.47576201,0.835540831
435,False,45.627052299999995,2.03439689,4129,4029,10931,2561591.5,1328.42041,M7090,14,14,-1,0.598203182,0.126130149,0.306386352,0.630010188
763,False,56.238048600000006,36.844421399999995,4487,4502,15742,12021.9385,46.54562,M7138,14,14,0,-0.128375411,0.163206771,0.0650772005,0.973035812
1533,True,19.972755399999997,18.51651,4145.0,4146.0,14574.0,1289.16089,7.8269248,M7160,14.0,14.0,0.0,34.19304279999999,-35.852684,16.9207859,0.0349284895
513,False,24.579607,36.2668648,4156.0,4164.0,14585.0,431249.719,439.377228,M7160,14.0,14.0,0.0,-1.50641668,0.552446604,0.326790929,0.94459337
1339,False,81.8622284,39.9917641,4166.0,4155.0,14595.0,40379.0352,114.197624,M7160,14.0,14.0,0.0,46.803749100000005,-6.54264402,-7.43990374,0.984288394
708,False,37.0598602,23.925909,4397,4398,15425,9461.719729999999,34.4611206,M7173,14,14,0,0.640318692,0.527263045,0.396330953,0.18355442600000002
1406,False,38.0827751,34.8282204,4399,4408,15427,1385.03845,10.1588707,M7173,14,14,0,-13.8995657,-42.212982200000006,-11.218286500000001,0.293209344
50,False,19.2182961,38.7229576,4612,4611,11968,193165.688,253.05938700000002,M7344,14,14,-1,19.0002937,-7.47335625,-2.77623153,0.431350946
519,False,53.0493622,54.07425309999999,4609,4610,16148,7400.15381,35.2962646,M7344,14,14,0,14.448884,8.42692947,0.023154471099999997,0.191228285
57,False,55.183231400000004,61.3192177,4047,4031,9838,365502.094,488.627747,M7425,14,14,-1,0.308054,-0.00773616834,0.489417315,0.5761275889999999
